country,year,violence_index
Ivory Coast,2021,0.5789988997777822
Ivory Coast,2022,0.4923348933882561
Ivory Coast,2023,0.44830529078883985
Ivory Coast,2024,0.3609822555402197
Jamaica,2021,0.5813016947839026
Jamaica,2022,0.5409167468418672
Jamaica,2023,0.628273960707797
Jamaica,2024,0.4492755767994856
Japan,2021,0.08774523733489947
Japan,2022,0.231728333943152
Japan,2023,0.3189617174406897
Japan,2024,0.04404064530109567
Jordan,2021,0.44825593208582304
Jordan,2022,0.44853901775376415
Jordan,2023,0.49196766291683036
Jordan,2024,0.2610694189563478
Kazakhstan,2021,0.3612005030626798
Kazakhstan,2022,0.5822204209089913
Kazakhstan,2023,0.31767740046079884
Kazakhstan,2024,0.23051098749711058
Kenya,2021,0.8458583818129995
Kenya,2022,0.8942675850502637
Kenya,2023,0.942867512146186
Kenya,2024,0.6690195838537453
Kiribati,2022,0.0
Kosovo,2021,0.4043478260869565
Kosovo,2022,0.36086956521739133
Kosovo,2023,0.49138743678607966
Kosovo,2024,0.27391498334700615
Kuwait,2021,0.13044367313007768
Kuwait,2022,0.043487809825754065
Kuwait,2023,0.043485314526247446
Kuwait,2024,0.043478260869565216
Kyrgyzstan,2021,0.5356563181471281
Kyrgyzstan,2022,0.6231533826128212
Kyrgyzstan,2023,0.4048153559559402
Kyrgyzstan,2024,0.2305296247049334
Laos,2021,2.8544272296412063e-10
Laos,2022,0.04347851205916142
Laos,2023,0.1434832749564368
Latvia,2021,0.17392463318680879
Latvia,2022,0.13044602207902248
Latvia,2023,8.653114591593613e-06
Latvia,2024,0.04348293315916482
Lebanon,2021,0.7114945213813512
Lebanon,2022,0.7977911389187832
Lebanon,2023,0.8008314852547848
Lebanon,2024,0.6264112112428405
Lesotho,2021,0.3610041661876434
Lesotho,2022,0.3610977858491009
Lesotho,2023,0.23062346680189696
Lesotho,2024,0.18697333050862167
Liberia,2021,0.31753801772761014
Liberia,2022,0.40455486462882306
Liberia,2023,0.3610518810232983
Liberia,2024,0.08699061927044033
Libya,2021,0.7103281585671226
Libya,2022,0.7982342171650766
Libya,2023,0.7970798348907664
Libya,2024,0.49177930545892123
Liechtenstein,2021,2.783066548900176e-07
Liechtenstein,2022,4.064296599690557e-07
Liechtenstein,2024,5.3255456598734506e-08
Lithuania,2021,0.21743633607724364
Lithuania,2022,0.0869883321693956
